Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
768849,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
768988,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
769127,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
769274,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
769416,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
769559,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
769702,2.10637,2.10637,2.10637,1.36138,0.00000,0.87746,26.8884,1,0,0.13,0.00,0.00
769841,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
769980,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
770122,2.10637,2.10637,2.10637,1.36125,0.00000,0.87746,26.8895,1,0,0.13,0.00,0.00
770389,2.10625,2.10625,2.10625,1.36112,0.00000,0.87744,26.8895,1,0,0.13,0.00,0.00
