Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
16910,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
17035,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
17166,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
17294,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6321,1,1,0.00,0.37,0.00
17419,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6344,1,1,0.00,0.37,0.00
17550,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
17681,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6355,1,1,0.00,0.36,0.00
17824,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6333,1,1,0.00,0.36,0.00
17967,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6321,1,1,0.00,0.36,0.00
18110,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
18253,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6333,1,1,0.00,0.36,0.00
18395,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
18538,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6344,1,1,0.00,0.37,0.00
18681,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6333,1,1,0.00,0.37,0.00
18824,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6333,1,1,0.00,0.37,0.00
18967,2.07125,2.07125,2.07125,1.36225,0.00000,0.87016,26.6355,1,1,0.00,0.37,0.00
19110,2.07112,2.07112,2.07112,1.36225,0.00000,0.87014,26.6333,1,1,0.00,0.37,0.00
19253,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6344,1,1,0.00,0.37,0.00
19395,2.07112,2.07112,2.07112,1.36238,0.00000,0.87014,26.6344,1,1,0.00,0.37,0.00
19538,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6333,1,1,0.00,0.37,0.00
19681,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6333,1,1,0.00,0.37,0.00
19824,2.07112,2.07112,2.07112,1.36238,0.00000,0.87014,26.6344,1,1,0.00,0.37,0.00
19967,2.07112,2.07112,2.07112,1.36225,0.00000,0.87014,26.6333,1,1,0.00,0.37,0.00
20110,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6344,1,1,0.00,0.37,0.00
20253,2.07125,2.07125,2.07125,1.36238,0.00000,0.87016,26.6344,1,1,0.00,0.37,0.00
20395,2.07125,2.07125,2.07125,1.36225,0.00000,0.87016,26.6333,1,1,0.00,0.37,0.00
20538,2.07137,2.07137,2.07137,1.36238,0.00000,0.87019,26.6355,1,1,0.00,0.37,0.00
20681,2.07125,2.07125,2.07125,1.36225,0.00000,0.87016,26.6355,1,1,0.00,0.37,0.00
20824,2.07125,2.07125,2.07125,1.36225,0.00000,0.87016,26.6333,1,1,0.00,0.37,0.00
20967,2.07125,2.07125,2.07125,1.36225,0.00000,0.87016,26.6344,1,1,0.00,0.37,0.00
21110,2.07137,2.07137,2.07137,1.36225,0.00000,0.87019,26.6355,1,1,0.00,0.37,0.00
21253,2.06750,2.06750,2.06750,1.36238,0.00000,0.86937,26.6344,1,2,0.29,0.00,0.00
21395,2.08662,2.08662,2.08662,1.36225,0.00000,0.87337,26.6344,1,2,0.29,0.00,0.00
21538,2.09400,2.09400,2.09400,1.36238,0.00000,0.87491,26.6344,1,2,0.29,0.00,0.00
21681,2.09750,2.09750,2.09750,1.36238,0.00000,0.87563,26.6344,1,2,0.29,0.00,0.00
21824,2.09950,2.09950,2.09950,1.36238,0.00000,0.87604,26.6344,1,2,0.29,0.00,0.00
21967,2.10087,2.10087,2.10087,1.36238,0.00000,0.87633,26.6344,1,2,0.29,0.00,0.00
22110,2.10175,2.10175,2.10175,1.36238,0.00000,0.87651,26.6344,1,2,0.29,0.00,0.00
22253,2.10225,2.10225,2.10225,1.36238,0.00000,0.87661,26.6344,1,2,0.29,0.00,0.00
22395,2.10262,2.10262,2.10262,1.36225,0.00000,0.87669,26.6344,1,2,0.29,0.00,0.00
22538,2.10300,2.10300,2.10300,1.36238,0.00000,0.87677,26.6355,1,2,0.29,0.00,0.00
22681,2.10325,2.10325,2.10325,1.36238,0.00000,0.87682,26.6344,1,2,0.29,0.00,0.00
22824,2.10338,2.10338,2.10338,1.36238,0.00000,0.87685,26.6344,1,2,0.29,0.00,0.00
22967,2.10362,2.10362,2.10362,1.36238,0.00000,0.87690,26.6355,1,2,0.29,0.00,0.00
23110,2.10387,2.10387,2.10387,1.36225,0.00000,0.87695,26.6344,1,2,0.29,0.00,0.00
23253,2.10413,2.10413,2.10413,1.36225,0.00000,0.87700,26.6344,1,2,0.29,0.00,0.00
23395,2.10425,2.10425,2.10425,1.36225,0.00000,0.87703,26.6344,1,2,0.29,0.00,0.00
23538,2.10450,2.10450,2.10450,1.36238,0.00000,0.87708,26.6344,1,2,0.29,0.00,0.00
23681,2.10450,2.10450,2.10450,1.36225,0.00000,0.87708,26.6355,1,2,0.29,0.00,0.00
23824,2.10462,2.10462,2.10462,1.36238,0.00000,0.87710,26.6344,1,2,0.29,0.00,0.00
23967,2.10487,2.10487,2.10487,1.36238,0.00000,0.87716,26.6344,1,2,0.29,0.00,0.00
24110,2.10487,2.10487,2.10487,1.36238,0.00000,0.87716,26.6344,1,2,0.29,0.00,0.00
24253,2.10500,2.10500,2.10500,1.36225,0.00000,0.87718,26.6344,1,2,0.29,0.00,0.00
24395,2.10500,2.10500,2.10500,1.36225,0.00000,0.87718,26.6355,1,2,0.29,0.00,0.00
24538,2.10525,2.10525,2.10525,1.36225,0.00000,0.87723,26.6355,1,2,0.29,0.00,0.00
24796,2.10525,2.10525,2.10525,1.36238,0.00000,0.87723,26.6355,1,2,0.29,0.00,0.00
24924,2.10537,2.10537,2.10537,1.36225,0.00000,0.87726,26.6355,1,2,0.29,0.00,0.00
25053,2.10537,2.10537,2.10537,1.36225,0.00000,0.87726,26.6355,1,2,0.29,0.00,0.00
25191,2.10550,2.10550,2.10550,1.36225,0.00000,0.87728,26.6355,1,2,0.29,0.00,0.00
25314,2.10550,2.10550,2.10550,1.36238,0.00000,0.87728,26.6344,1,2,0.29,0.00,0.00
25437,2.10550,2.10550,2.10550,1.36225,0.00000,0.87728,26.6355,1,2,0.29,0.00,0.00
