# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2193594,0,,,,,-0.0407,,,1
2193745,0,,,,,,,0.4777,1
2193896,0,,,,,,0.0435,,1
2194047,0,,,,25.7135,,,,1
2194175,0,,,2.7501,,,,,1
2194303,0,0.6777,,,,,,,1
2194431,0,,,2.7501,,,,,1
2194559,0,0.6777,,,,,,,1
2194709,0,,,,,-0.0407,,,1
2194860,0,,,,,,,0.4779,1
2195011,0,,,,,,0.0435,,1
2195162,0,,,,25.7135,,,,1
2195290,0,,,2.7506,,,,,1
2195418,0,0.6777,,,,,,,1
2195546,0,,,2.7505,,,,,1
2195696,0,,,,,-0.0407,,,1
2195847,0,,,,,,,0.4779,1
2195998,0,,,,,,0.0435,,1
2196149,0,,,,25.7135,,,,1
2196277,0,0.6777,,,,,,,1
2196405,0,,,2.7509,,,,,1
2196533,0,0.6777,,,,,,,1
2196683,0,,,,,-0.0407,,,1
2196834,0,,,,,,,0.4779,1
2196985,0,,,,,,0.0435,,1
2197136,0,,,,25.7135,,,,1
2197264,0,,,2.7513,,,,,1
2197392,0,0.6777,,,,,,,1
2197520,0,,,2.7511,,,,,1
2197670,0,,,,,-0.0407,,,1
2197821,0,,,,,,,0.4779,1
2197972,0,,,,,,0.0435,,1
2198123,0,,,,25.7135,,,,1
2198251,0,0.6777,,,,,,,1
2198379,0,,,2.7514,,,,,1
2198507,0,0.6777,,,,,,,1
2198657,0,,,,,-0.0407,,,1
2198808,0,,,,,,,0.4779,1
2198959,0,,,,,,0.0435,,1
2199110,0,,,,25.7135,,,,1
2199238,0,,,2.7517,,,,,1
2199366,0,0.6777,,,,,,,1
2199494,0,,,2.7516,,,,,1
2199644,0,,,,,-0.0407,,,1
2199795,0,,,,,,,0.4779,1
2199946,0,,,,,,0.0435,,1
2200097,0,,,,25.7135,,,,1
2200225,0,0.6777,,,,,,,1
2200353,0,,,2.7520,,,,,1
2200481,0,0.6777,,,,,,,1
2200631,0,,,,,-0.0407,,,1
2200782,0,,,,,,,0.4777,1
2200933,0,,,,,,0.0435,,1
2201084,0,,,,25.7135,,,,1
2201212,0,,,2.7524,,,,,1
2201340,0,0.6777,,,,,,,1
